(('1331700658345533443_1735', 'sananbabayev', 'zubeyir'), 0.5714285714285714)
(('1329682136459337730_1757', 'sananbabayev', 'mustafacem'), 1.0)
(('1327503782620635136_1791', 'sananbabayev', 'emirasal'), 0.5714285714285714)
(('1326873616366137349_1805', 'sananbabayev', 'tolgaaydin'), 0.5714285714285714)
(('1326813232833552385_1827', 'sananbabayev', 'msamil'), 0.5714285714285714)
(('1325372988087296000_1842', 'sananbabayev', 'orkhan'), 0.5714285714285714)
(('1324448904730071044_1861', 'sananbabayev', 'alikoray'), 0.5714285714285714)
(('1323625761404760065_1872', 'sananbabayev', 'orkhan'), 0.5714285714285714)
(('1323559604656181252_1888', 'sananbabayev', 'onatt'), 0.5714285714285714)
(('1323186578395668480_1911', 'sananbabayev', 'ozgurbeker'), 1.0)
(('1322810672024113152_1930', 'sananbabayev', 'burakbatman'), 0.5714285714285714)
(('1322793976970334211_1941', 'sananbabayev', 'alikoray'), 0.5714285714285714)
(('1322459418190057478_1966', 'sananbabayev', 'alikoray'), 0.0769230769230771)
(('1322428087280291842_1972', 'sananbabayev', 'mustafacem'), 0.5714285714285714)
(('1322222396561129476_2004', 'sananbabayev', 'dogru'), 0.6666666666666667)
(('1322195060985892865_2028', 'sananbabayev', 'suedaseker'), 0.25)
(('1322179882017837056_2039', 'sananbabayev', 'alperenyildiz'), 0.5714285714285714)
(('1314899795488772096_2084', 'sananbabayev', 'rebahozkoc'), 0.0)
(('1310138496515018752_2106', 'sananbabayev', 'zubeyir'), 0.0)
(('1332225143620444162_2139', 'sananbabayev', 'zubeyir'), 0.0)
(('1327503782620635136_2153', 'sananbabayev', 'burakbatman'), 0.5714285714285714)
(('1323617776167170048_2179', 'sananbabayev', 'colakulas'), 0.33333333333333337)
(('1322853389793832961_2196', 'sananbabayev', 'mustafacem'), 0.5714285714285714)
(('1322479233655070720_2210', 'sananbabayev', 'emirasal'), 0.5714285714285714)
(('1320986085892050944_2240', 'sananbabayev', 'dogru'), 1.0)
(('1309393751291441152_2262', 'sananbabayev', 'mehmetcandar'), -0.19999999999999996)
(('1332583755727446016_968', 'omersurhay', 'zubeyir'), 1.0)
(('1327503782620635136_988', 'omersurhay', 'zubeyir'), 0.25)
(('1323614656162897923_1045', 'omersurhay', 'alpercakar'), 1.0)
(('1323300730132987904_1058', 'omersurhay', 'ramonberke'), 1.0)
(('1323155740253736965_1079', 'omersurhay', 'emirasal'), 0.6666666666666667)
(('1322877392734617601_1090', 'omersurhay', 'msamil'), 0.6666666666666667)
(('1322190304003477505_1239', 'omersurhay', 'dogru'), 0.5714285714285714)
(('1322622740835295232_1222', 'omersurhay', 'karakoc'), 1.0)
(('1332245968218189831_1139', 'omersurhay', 'alperenyildiz'), 1.0)
(('1322423093340573696_1127', 'omersurhay', 'ramonberke'), 0.6666666666666667)
(('1323658696723869696_1179', 'omersurhay', 'mehmetcandar'), 1.0)
(('1322594308818640898_1110', 'omersurhay', 'suedaseker'), 1.0)
(('1325746201279438849_1157', 'omersurhay', 'alperenyildiz'), 1.0)
(('1323228360806457345_1293', 'omersurhay', 'mehmetcandar'), 0.6666666666666667)
(('1322531961492090880_1315', 'omersurhay', 'umutonder'), 1.0)
(('1309131651750993926_1340', 'omersurhay', 'caltinuzengi'), 1.0)
(('1332245968218189831_1356', 'omersurhay', 'suedaseker'), 1.0)
(('1331248708881686537_1367', 'omersurhay', 'goktugmandaci'), 0.5714285714285714)
(('1329310007687581702_1382', 'omersurhay', 'onatt'), 0.5714285714285714)
(('1326575437334634496_1411', 'omersurhay', 'caltinuzengi'), 1.0)
(('1323273659063001089_1465', 'omersurhay', 'oteryaki'), 1.0)
(('1323189353867288577_1476', 'omersurhay', 'alpercakar'), 1.0)
(('1322528752975360002_1500', 'omersurhay', 'alisinal'), 1.0)
(('1322318137300234240_1524', 'omersurhay', 'caltinuzengi'), 1.0)
(('1311294722107899911_1558', 'omersurhay', 'ramonberke'), 0.5714285714285714)
(('1320633764213653505_1542', 'omersurhay', 'alperenyildiz'), 1.0)
(('1329871095269298176_1585', 'omersurhay', 'gkantar'), 0.0)
(('1325375005597708290_1594', 'omersurhay', 'onatt'), nan)
(('1329310007687581702_1617', 'omersurhay', 'rebahozkoc'), 1.0)
(('1327503782620635136_1627', 'omersurhay', 'tolgaaydin'), 0.18181818181818188)
(('1322330157823176706_1671', 'omersurhay', 'zubeyir'), 1.0)
(('1322179882017837056_1676', 'omersurhay', 'dogru'), 1.0)
(('1332257858331832320_1710', 'omersurhay', 'mustafacem'), 1.0)
(('1332225143620444162_1721', 'omersurhay', 'karakoc'), -0.19999999999999996)
(('1331851430421016578_1731', 'omersurhay', 'orkhan'), -0.19999999999999996)
