(('1316685246709067779_2680', 'zubeyir', 'tahabayindir'), 0.6206896551724137)
(('1315925083664384004_2697', 'zubeyir', 'omerkuyucu'), -0.10000000000000009)
(('1315637089837502466_2702', 'zubeyir', 'karakoc'), 0.0)
(('1313474087403106306_2745', 'zubeyir', 'ramonberke'), 1.0)
(('1311727808247406592_2774', 'zubeyir', 'gkantar'), nan)
(('1311429364102443014_2787', 'zubeyir', 'fethidenker'), 0.0)
(('1310590720009478148_2817', 'zubeyir', 'msamil'), 0.6206896551724137)
(('1310547447798796289_2823', 'zubeyir', 'dogru'), 0.6206896551724137)
(('1334176752495521792_2867', 'zubeyir', 'tolgaaydin'), 1.0)
(('1334061775906549760_2884', 'zubeyir', 'orkhan'), 0.6206896551724137)
(('1333692310194966530_2901', 'zubeyir', 'karakoc'), 1.0)
(('1333442573420130305_2912', 'zubeyir', 'gkantar'), nan)
(('1333309789691019264_2928', 'zubeyir', 'fethidenker'), 1.0)
(('1333035482293231616_2938', 'zubeyir', 'gkantar'), 1.0)
(('1332632828920688651_2955', 'zubeyir', 'suedaseker'), 1.0)
(('1331584672963375106_3009', 'zubeyir', 'alpercakar'), 0.6206896551724137)
(('1331319173776084992_3023', 'zubeyir', 'emirasal'), 0.0)
(('1329881846495195136_3072', 'zubeyir', 'rebahozkoc'), 0.0)
(('1329816777807708162_3079', 'zubeyir', 'caltinuzengi'), 0.7441860465116279)
(('1329310520407625730_3106', 'zubeyir', 'tahabayindir'), 0.6206896551724137)
(('1328351034109014019_3141', 'zubeyir', 'alperenyildiz'), 1.0)
(('1328287949532880900_3148', 'zubeyir', 'alperenyildiz'), 0.0)
(('1327168861892907008_3189', 'zubeyir', 'oteryaki'), 0.6206896551724137)
