(('Hurriyet1073', 'orkhan', 'caltinuzengi'), 0.9324877250409165)
(('Hurriyet502', 'orkhan', 'alpercakar'), 0.907222380816443)
(('Hurriyet3039', 'orkhan', 'msamil'), 0.7251481237656353)
(('Hurriyet1587', 'orkhan', 'oteryaki'), 0.6835443037974683)
(('Hurriyet2711', 'orkhan', 'alikoray'), 0.893785929373118)
(('Hurriyet4078', 'orkhan', 'ozgurbeker'), 0.8543123543123543)
(('Hurriyet69', 'orkhan', 'mustafacem'), 0.8437464946719013)
(('Hurriyet4097', 'orkhan', 'zubeyir'), 0.7392371910296285)
(('cnnturk229', 'orkhan', 'ozgurbeker'), 0.8564793837788853)
(('Hurriyet4860', 'onatt', 'msamil'), 0.8712438366359662)
(('Hurriyet3083', 'onatt', 'msamil'), 1.0)
(('Hurriyet4168', 'onatt', 'umutonder'), 0.8492245271906289)
(('Hurriyet3637', 'onatt', 'burakbatman'), 0.7917692578262399)
(('Hurriyet1160', 'onatt', 'tolgaaydin'), 0.947109471094711)
(('Hurriyet365', 'onatt', 'alperenyildiz'), 0.8596171376481312)
(('Hurriyet3210', 'onatt', 'mustafacem'), 0.7774621212121212)
(('cnnturk1333', 'onatt', 'ozgurbeker'), 0.42014242115971523)
(('Hurriyet3702', 'onatt', 'mustafacem'), 0.6700755891507337)
(('Hurriyet4960', 'onatt', 'msamil'), 0.672951972670641)
(('cnnturk1250', 'onatt', 'goktugmandaci'), 0.9639897544071117)
(('Hurriyet2200', 'onatt', 'dogru'), 0.8705660377358491)
(('cnnturk929', 'onatt', 'alikoray'), 0.7759176587301587)
(('Hurriyet4449', 'onatt', 'omersurhay'), 0.8058998218174619)
(('Hurriyet3691', 'onatt', 'zubeyir'), 0.7072395238871678)
(('Hurriyet4464', 'onatt', 'alperenyildiz'), 0.7914859544938947)
(('Hurriyet3911', 'onatt', 'alikoray'), 0.7885386819484241)
(('Hurriyet2884', 'onatt', 'karakoc'), 0.8437904269081501)
(('Hurriyet210', 'onatt', 'alperenyildiz'), 0.7134180452329577)
(('cnnturk656', 'onatt', 'burakbatman'), 0.864178647904558)
(('Hurriyet1275', 'onatt', 'eagaev'), 0.4317509174854979)
(('cnnturk1303', 'onatt', 'idilkale'), 0.7543186180422266)
(('Hurriyet943', 'onatt', 'rebahozkoc'), 0.938785046728972)
(('Hurriyet1410', 'onatt', 'burakbatman'), 0.7301529497450838)
(('Hurriyet4180', 'onatt', 'omerkuyucu'), 0.872827804107425)
(('Hurriyet3629', 'onatt', 'dogru'), 0.8225834342037005)
(('Hurriyet4450', 'onatt', 'idilkale'), 0.8356374807987711)
(('Hurriyet3978', 'onatt', 'tolgaaydin'), 0.7858032378580324)
(('cnnturk182', 'onatt', 'colakulas'), 0.8377021751254881)
(('cnnturk505', 'onatt', 'zubeyir'), 0.6538461538461537)
