(('Hurriyet2001', 'onatt', 'orkhan'), 0.816398243045388)
(('Hurriyet2400', 'onatt', 'umutonder'), 0.6392307125488174)
(('Hurriyet3385', 'gkantar', 'fethidenker'), 0.8133395090319593)
(('Hurriyet152', 'gkantar', 'orkhan'), 0.5497830681944599)
(('Hurriyet2115', 'gkantar', 'goktugmandaci'), 0.8185240963855421)
(('Hurriyet2097', 'gkantar', 'goktugmandaci'), 0.9100758396533044)
(('Hurriyet2097', 'gkantar', 'omerkuyucu'), 0.8747844827586206)
(('Hurriyet2097', 'goktugmandaci', 'omerkuyucu'), 0.8441151919866444)
(('Hurriyet1744', 'gkantar', 'burakbatman'), 0.9233560749020178)
(('Hurriyet4459', 'gkantar', 'idilkale'), 0.6216022889842633)
(('Hurriyet2832', 'gkantar', 'dogru'), 0.3318603623508617)
(('Hurriyet448', 'gkantar', 'sananbabayev'), 0.39332949971247844)
(('Hurriyet621', 'gkantar', 'alpercakar'), 0.6563101457244982)
(('Hurriyet621', 'gkantar', 'caltinuzengi'), 0.5405618272512471)
(('Hurriyet621', 'alpercakar', 'caltinuzengi'), 0.4895644283121596)
(('Hurriyet4420', 'gkantar', 'mehmetcandar'), 0.8408488063660478)
(('Hurriyet4808', 'gkantar', 'msamil'), 0.8758653616614944)
(('Hurriyet2505', 'gkantar', 'idilkale'), 0.7285285928464339)
(('Hurriyet1309', 'gkantar', 'msamil'), 0.8395522388059702)
(('cnnturk344', 'dogru', 'raulaliyev'), 0.6963677639046538)
(('cnnturk760', 'dogru', 'alperenyildiz'), 0.745664739884393)
(('Hurriyet1739', 'dogru', 'oteryaki'), 0.6315942149102813)
(('Hurriyet3950', 'dogru', 'caltinuzengi'), 0.6606832657788072)
(('Hurriyet4747', 'dogru', 'umutonder'), 0.7148288973384029)
(('Hurriyet1271', 'dogru', 'omerkuyucu'), 0.6883116883116883)
(('cnnturk324', 'dogru', 'colakulas'), 0.6527932339194302)
(('Hurriyet579', 'dogru', 'idilkale'), 0.6958076048098797)
(('Hurriyet3438', 'dogru', 'sananbabayev'), 0.6521456964387118)
(('cnnturk1294', 'dogru', 'kkaan'), 0.7938121946806586)
(('Hurriyet2129', 'dogru', 'burakbatman'), 1.0)
(('Hurriyet4825', 'mehmetcandar', 'colakulas'), 0.7235099337748344)
(('Hurriyet3550', 'mehmetcandar', 'raulaliyev'), 0.8989594742606791)
(('cnnturk638', 'mehmetcandar', 'sananbabayev'), 0.711070819112628)
(('Hurriyet1056', 'mehmetcandar', 'alperenyildiz'), 0.6294209954532652)
(('Hurriyet1840', 'mehmetcandar', 'idilkale'), 0.9512049392551285)
(('Hurriyet3554', 'mehmetcandar', 'msamil'), 0.7841369157158631)
(('Hurriyet2141', 'mehmetcandar', 'orkhan'), 0.5655671761866452)
(('Hurriyet190', 'mehmetcandar', 'tolgaaydin'), 0.7649579748181123)
(('Hurriyet2411', 'mehmetcandar', 'msamil'), 0.855297961723977)
(('cnnturk748', 'mehmetcandar', 'idilkale'), 0.7415617517571638)
(('cnnturk1231', 'mehmetcandar', 'fethidenker'), 0.8944348202685145)
(('Hurriyet1158', 'oteryaki', 'raulaliyev'), 0.6774193548387097)
(('Hurriyet3229', 'oteryaki', 'orkhan'), 0.9287305122494431)
(('Hurriyet4257', 'oteryaki', 'idilkale'), 0.8521233569261881)
(('cnnturk259', 'oteryaki', 'kkaan'), 0.8485280767734406)
(('cnnturk259', 'oteryaki', 'fethidenker'), 0.9394274650809017)
(('cnnturk259', 'oteryaki', 'omerkuyucu'), 0.7664747280870122)
(('cnnturk259', 'kkaan', 'fethidenker'), 0.9060609960108094)
(('cnnturk259', 'kkaan', 'omerkuyucu'), 0.683342972816657)
(('cnnturk259', 'fethidenker', 'omerkuyucu'), 0.7702957835116425)
(('Hurriyet2330', 'oteryaki', 'mustafacem'), 0.7690421455938697)
(('cnnturk1191', 'oteryaki', 'kkaan'), 0.8763600395647874)
(('cnnturk1191', 'oteryaki', 'fethidenker'), 0.9048947501902105)
(('cnnturk1191', 'kkaan', 'fethidenker'), 0.9132546842470507)
(('Hurriyet1603', 'oteryaki', 'mustafacem'), 0.6693250868055556)
(('Hurriyet4746', 'oteryaki', 'caltinuzengi'), 0.7406570344660586)
(('Hurriyet3601', 'goktugmandaci', 'mustafacem'), 0.7432199404295343)
(('Hurriyet1768', 'goktugmandaci', 'tolgaaydin'), 1.0)
(('Hurriyet1238', 'goktugmandaci', 'omerkuyucu'), 0.7534396497811132)
(('Hurriyet577', 'goktugmandaci', 'burakbatman'), 1.0)
(('cnnturk747', 'goktugmandaci', 'alperenyildiz'), 0.8761948111060537)
(('Hurriyet2451', 'goktugmandaci', 'colakulas'), 0.6395557549921471)
(('cnnturk737', 'goktugmandaci', 'tolgaaydin'), 0.735367683841921)
(('Hurriyet2706', 'goktugmandaci', 'sananbabayev'), 0.6051234404035041)
(('Hurriyet2971', 'goktugmandaci', 'kkaan'), 0.8530207394048692)
(('Hurriyet3766', 'goktugmandaci', 'kkaan'), 0.8907730673316708)
(('Hurriyet614', 'umutonder', 'alperenyildiz'), 0.5539858728557013)
